epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,77.6206,1.84593,1.8669,1.55419,0.0102,1,0.03109,0.00986,1.47909,19.8932,1.76904,0.000119322,0.000119322,0.000119322
12,84.1922,1.10157,2.55863,1.54642,0.0102,1,0.03109,0.00986,1.32328,12.3498,1.64656,0.00012866,0.00012866,0.00012866
13,91.4515,1.58323,2.93151,1.61646,0.10303,1,0.11056,0.05528,1.53053,10.1627,1.72929,0.000137527,0.000137527,0.000137527
14,98.0743,1.69571,2.65378,2.29626,0.28649,1,0.33167,0.15227,1.25531,8.50868,1.6393,0.000145922,0.000145922,0.000145922
15,104.691,1.21399,1.69557,1.53356,0.81472,1,0.995,0.39516,1.51319,6.36077,2.85604,0.000153846,0.000153846,0.000153846
16,111.058,2.57818,2.75183,2.19241,0.82908,1,0.995,0.50994,1.62207,5.0912,3.08617,0.000161298,0.000161298,0.000161298
17,119.274,1.04857,2.11832,1.54261,0.9034,1,0.995,0.54725,1.47037,5.44063,2.9507,0.000168279,0.000168279,0.000168279
18,128.578,1.20861,2.00733,1.33955,0.9034,1,0.995,0.54725,1.47037,5.44063,2.9507,0.000174788,0.000174788,0.000174788
19,135.249,1.00124,2.37928,1.74817,0.95147,1,0.995,0.597,1.47988,4.39614,2.85022,0.000180826,0.000180826,0.000180826
20,141.35,0.77209,1.30642,1.20404,0.95147,1,0.995,0.597,1.47988,4.39614,2.85022,0.000186392,0.000186392,0.000186392
21,147.603,1.37966,1.86643,1.47993,0.42105,1,0.995,0.597,1.48322,4.7352,2.2,0.000191486,0.000191486,0.000191486
22,155.134,1.3476,1.80034,1.35513,0.42105,1,0.995,0.597,1.48322,4.7352,2.2,0.000196109,0.000196109,0.000196109
23,161.811,0.67653,1.42844,1.209,0.42778,0.85557,0.4975,0.26533,1.44952,4.85353,1.80421,0.00020026,0.00020026,0.00020026
24,167.756,1.02059,0.98947,1.16681,0.42778,0.85557,0.4975,0.26533,1.44952,4.85353,1.80421,0.00020394,0.00020394,0.00020394
25,174.419,0.62818,1.18267,1.20671,0.47459,1,0.4975,0.2388,1.44468,5.27186,2.23758,0.000207148,0.000207148,0.000207148
26,181.229,1.19573,1.65048,1.93479,0.47459,1,0.4975,0.2388,1.44468,5.27186,2.23758,0.000209884,0.000209884,0.000209884
27,188.773,0.8241,0.94289,1.02033,0.46431,1,0.4975,0.24875,1.3945,5.14897,2.17594,0.000212149,0.000212149,0.000212149
28,195.616,0,22.5968,0,0.46431,1,0.4975,0.24875,1.3945,5.14897,2.17594,0.000213943,0.000213943,0.000213943
29,202.847,1.04869,2.127,1.77227,0.27571,1,0.33167,0.15636,1.35849,5.89882,2.07051,0.000215265,0.000215265,0.000215265
30,210.001,0.85164,0.82345,1.12038,0.27571,1,0.33167,0.15636,1.35849,5.89882,2.07051,0.000216115,0.000216115,0.000216115
31,216.678,0.89379,1.69456,1.34114,0.19335,1,0.24875,0.09784,1.3617,5.44963,1.91018,0.000216493,0.000216493,0.000216493
